"term","estimate","std_error","z_value","p_value","low_cl","high_cl"
"(Intercept)",-7.7675361300392,0.244971479573322,-31.7079202181751,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120836493285765,-8.2476714072424,-7.287400852836
"I(1/month_of_life)",-0.632974934741315,0.0256819883966212,-24.6466482643763,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000399760475576583,-0.683310707050068,-0.582639162432562
"month_of_life",-0.761158233417003,0.0296741252951237,-25.6505701801455,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000416656481718808,-0.819318450268174,-0.702998016565831
"I(month_of_life^2)",0.0555418029709573,0.00335814716301597,16.5394189935009,0.000000000000000000000000000000000000000000000000000000000000190854209867773,0.0489599554766607,0.062123650465254
"I(month_of_life^3)",-0.0013664888162956,0.000107810167939791,-12.674953043935,0.000000000000000000000000000000000000814074242782377,-0.00157779286262481,-0.0011551847699664
"pvz",-0.555093470700899,0.234980291659177,-2.36229799010559,0.0181620367493073,-1.0156463794296,-0.0945405619721952
"riskModerateRisk",0.850185947629128,0.0360663256261778,23.5728462178593,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000732101251511626,0.779497248347125,0.920874646911131
"riskHighRisk",1.7922484035506,0.215252714976561,8.32625225538157,0.0000000000000000834419009764591,1.37036083462207,2.21413597247912
"calendar_month1",3.96154070040947,0.237586961827234,16.6740660764465,0.0000000000000000000000000000000000000000000000000000000000000202349263715237,3.4958788120318,4.42720258878714
"calendar_month2",3.8217015712744,0.237914245565601,16.0633574596971,0.000000000000000000000000000000000000000000000000000000000460912581734154,3.35539821855681,4.288004923992
"calendar_month3",3.55595812023069,0.238692959657319,14.8976246527582,0.000000000000000000000000000000000000000000000000034150607830295,3.08812851593908,4.02378772452231
"calendar_month4",2.46159390119768,0.244728995498591,10.0584481057614,0.00000000000000000000000843169504198544,1.98193388404778,2.94125391834759
"calendar_month5",1.56068736850189,0.261917288556976,5.95870313525478,0.00000000254247473487746,1.04733891600183,2.07403582100195
"calendar_month6",1.03604470054104,0.276974127977134,3.74058294941747,0.00018359394171194,0.49318538505647,1.57890401602561
"calendar_month7",0.195630019142544,0.320964863965229,0.609506027313125,0.54218907886848,-0.433449554532103,0.824709592817191
"calendar_month9",0.485007237791611,0.297928697019647,1.6279305842083,0.103539605482179,-0.0989222783278425,1.06893675391107
"calendar_month10",1.60891614184968,0.257050997706737,6.25913206407877,0.00000000038712593999953,1.10510544415438,2.11272683954497
"calendar_month11",3.03558200144076,0.240761358705126,12.6082608013465,0.00000000000000000000000000000000000190142762078221,2.56369840950979,3.50746559337174
"calendar_month12",4.05437090464897,0.237399252099447,17.0782800231847,0.0000000000000000000000000000000000000000000000000000000000000000215374519349869,3.58907692057731,4.51966488872063
